LEMMA|POS,LEMMA,POS,FREQUENCY,INFLECTIONS
footage|n,footage,n,98,footage
height|n,height,n,98,"height, heights"
labor|n,labor,n,98,"labor, labors"
nephew|n,nephew,n,98,"nephew, nephews"
pass|n,pass,n,98,"pass, passes"
punk|n,punk,n,98,"punk, punks"
reaction|n,reaction,n,98,"reaction, reactions"
shy|j,shy,j,98,"shy, shier, shyer, shiest, shyest"
cage|n,cage,n,97,"cage, cages"
civil|j,civil,j,97,civil
colonel|n,colonel,n,97,"colonel, colonels"
courage|n,courage,n,97,courage
cure|v,cure,v,97,"cure, cured, cures, curing"
delightful|j,delightful,j,97,delightful
emotion|n,emotion,n,97,"emotion, emotions"
expose|v,expose,v,97,"expose, exposed, exposes, exposing"
fence|n,fence,n,97,"fence, fences"
glue|n,glue,n,97,"glue, glues"
noodle|n,noodle,n,97,"noodle, noodles"
organ|n,organ,n,97,"organ, organs"
pole|n,pole,n,97,"pole, poles"
refrigerator|n,refrigerator,n,97,"refrigerator, refrigerators"
skull|n,skull,n,97,"skull, skulls"
taxi|n,taxi,n,97,"taxi, taxies, taxis"
touch|n,touch,n,97,"touch, touches"
airline|n,airline,n,96,"airline, airlines"
background|n,background,n,96,"background, backgrounds"
bravo|u,bravo,u,96,bravo
cheek|n,cheek,n,96,"cheek, cheeks"
count|n,count,n,96,"count, counts"
expense|n,expense,n,96,"expense, expenses"
Irish|K,Irish,K,96,Irish
ladder|n,ladder,n,96,"ladder, ladders"
mug|n,mug,n,96,"mug, mugs"
nickname|n,nickname,n,96,"nickname, nicknames"
pea|n,pea,n,96,"pea, peas"
principal|n,principal,n,96,"principal, principals"
rack|n,rack,n,96,"rack, racks"
session|n,session,n,96,"session, sessions"
soldier|n,soldier,n,96,"soldier, soldiers"
urine|n,urine,n,96,urine
virgin|n,virgin,n,96,"virgin, virgins"
wander|v,wander,v,96,"wander, wandered, wandering, wanders"
bump|n,bump,n,95,"bump, bumps"
carrot|n,carrot,n,95,"carrot, carrots"
chili|n,chili,n,95,"chili, chilis, chile, chiles, chilies, chilli, chillies"
circus|n,circus,n,95,"circus, circuses"
former|j,former,j,95,former
generous|j,generous,j,95,generous
gesture|n,gesture,n,95,"gesture, gestures"
halfway|r,halfway,r,95,halfway
inside|j,inside,j,95,inside
ninja|n,ninja,n,95,"ninja, ninjas"
o'clock|r,o'clock,r,95,o'clock
promise|n,promise,n,95,"promise, promises"
prostitute|n,prostitute,n,95,"prostitute, prostitutes"
round|r,round,r,95,round
shelter|n,shelter,n,95,"shelter, shelters"
sperm|n,sperm,n,95,"sperm, sperms"
technology|n,technology,n,95,"technology, technologies"
thanks|n,thanks,n,95,thanks
agent|n,agent,n,94,"agent, agents"
ability|n,ability,n,94,"ability, abilities"
awfully|r,awfully,r,94,awfully
cherry|n,cherry,n,94,"cherry, cherries"
discussion|n,discussion,n,94,"discussion, discussions"
documentary|n,documentary,n,94,"documentary, documentaries"
invest|v,invest,v,94,"invest, invested, investing, invests"
jet|n,jet,n,94,"jet, jets"
knowledge|n,knowledge,n,94,knowledge
load|n,load,n,94,"load, loads"
minister|n,minister,n,94,"minister, ministers"
motherfucker|n,motherfucker,n,94,"motherfucker, motherfuckers"
offensive|j,offensive,j,94,offensive
promote|v,promote,v,94,"promote, promoted, promotes, promoting"
retire|v,retire,v,94,"retire, retired, retires, retiring"
singer|n,singer,n,94,"singer, singers"
specific|j,specific,j,94,specific
sudden|n,sudden,n,94,sudden
tuck|v,tuck,v,94,"tuck, tucked, tucking, tucks"
sin|n,sin,n,94,"sin, sins"
chart|n,chart,n,94,"chart, charts"
grader|n,grader,n,94,"grader, graders"
ant|n,ant,n,93,"ant, ants"
bull|n,bull,n,93,"bull, bulls"
carefully|r,carefully,r,93,carefully
cleaning|n,cleaning,n,93,"cleaning, cleanings"
dork|n,dork,n,93,"dork, dorks"
dummy|n,dummy,n,93,"dummy, dummies"
exam|n,exam,n,93,"exam, exams"
helicopter|n,helicopter,n,93,"helicopter, helicopters"
moustache|n,moustache,n,93,"moustache, moustaches"
rate|n,rate,n,93,"rate, rates"
recall|v,recall,v,93,"recall, recalled, recalling, recalls"
reject|v,reject,v,93,"reject, rejected, rejecting, rejects"
ski|v,ski,v,93,"ski, skied, skiing, skis"
spy|v,spy,v,93,"spy, spied, spies, spying"
stress|n,stress,n,93,"stress, stresses"
therapy|n,therapy,n,93,"therapy, therapies"
travel|n,travel,n,93,"travel, travels"
upper|j,upper,j,93,upper
very|j,very,j,93,very
sponge|n,sponge,n,93,"sponge, sponges"
profit|n,profit,n,93,"profit, profits"
assignment|n,assignment,n,92,"assignment, assignments"
bounce|v,bounce,v,92,"bounce, bounced, bounces, bouncing"
branch|n,branch,n,92,"branch, branches"
CD|abbr,CD,abbr,92,"CD, CDs"
daily|j,daily,j,92,daily
dice|n,dice,n,92,"dice, dices"
dignity|n,dignity,n,92,"dignity, dignities"
entirely|r,entirely,r,92,entirely
flatter|v,flatter,v,92,"flatter, flatters, flattered, flattering"
form|v,form,v,92,"form, formed, forming, forms"
fraud|n,fraud,n,92,"fraud, frauds"
offer|n,offer,n,92,"offer, offers"
pit|n,pit,n,92,"pit, pits"
slow|r,slow,r,92,"slow, slower, slowest"
status|n,status,n,92,"status, statuses"
stroke|n,stroke,n,92,"stroke, strokes"
terrify|v,terrify,v,92,"terrify, terrified, terrifies, terrifying"
thirty-five|m,thirty-five,m,92,thirty-five
yogurt|n,yogurt,n,92,"yogurt, yoghourt, yoghourts, yoghurt, yoghurts, yogurts"
random|j,random,j,92,random
blond|j,blond,j,92,"blond, blonde, blonder, blondest"
cube|n,cube,n,92,"cube, cubes"
alley|n,alley,n,91,"alley, alleys"
arrange|v,arrange,v,91,"arrange, arranged, arranges, arranging"
coupon|n,coupon,n,91,"coupon, coupons"
ditch|v,ditch,v,91,"ditch, ditched, ditches, ditching"
drunk|j,drunk,j,91,"drunk, drunker, drunkest"
edge|n,edge,n,91,"edge, edges"
gamble|v,gamble,v,91,"gamble, gambled, gambles, gambling"
gray|j,gray,j,91,"gray, grayer, grayest, grey, greyer, greyest"
hostage|n,hostage,n,91,"hostage, hostages"
inform|v,inform,v,91,"inform, informed, informing, informs"
likely|j,likely,j,91,"likely, likelier, likeliest"
mask|n,mask,n,91,"mask, masks"
nasty|j,nasty,j,91,"nasty, nastier, nastiest"
Olympics|K,Olympics,K,91,Olympics
panties|n,panties,n,91,panties
priest|n,priest,n,91,"priest, priests"
rock|j,rock,j,91,rock
shine|v,shine,v,91,"shine, shined, shines, shining, shone"
shower|v,shower,v,91,"shower, showered, showering, showers"
left|r,left,r,91,left
capable|j,capable,j,90,capable
corporation|n,corporation,n,90,"corporation, corporations"
delete|v,delete,v,90,"delete, deleted, deletes, deleting"
dental|j,dental,j,90,dental
engagement|n,engagement,n,90,"engagement, engagements"
entitle|v,entitle,v,90,"entitle, entitled, entitles, entitling"
howdy|u,howdy,u,90,howdy
ironic|j,ironic,j,90,ironic
movement|n,movement,n,90,"movement, movements"
piano|n,piano,n,90,"piano, pianos"
scooter|n,scooter,n,90,"scooter, scooters"
silver|n,silver,n,90,"silver, silvers"
slightly|r,slightly,r,90,slightly
sort|v,sort,v,90,"sort, sorted, sorting, sorts"
tragic|j,tragic,j,90,tragic
underpants|n,underpants,n,90,underpants
cabinet|n,cabinet,n,89,"cabinet, cabinets"
debt|n,debt,n,89,"debt, debts"
global|j,global,j,89,global
hereby|r,hereby,r,89,hereby
kindergarten|n,kindergarten,n,89,"kindergarten, kindergartens"
mustard|n,mustard,n,89,mustard
old-fashioned|j,old-fashioned,j,89,old-fashioned
procedure|n,procedure,n,89,"procedure, procedures"
progress|n,progress,n,89,"progress, progresses"
scale|n,scale,n,89,"scale, scales"
select|v,select,v,89,"select, selected, selecting, selects"
rib|n,rib,n,89,"rib, ribs"
armed|j,armed,j,88,armed
astronaut|n,astronaut,n,88,"astronaut, astronauts"
backyard|n,backyard,n,88,"backyard, backyards"
camp|v,camp,v,88,"camp, camped, camping, camps"
capture|v,capture,v,88,"capture, captured, captures, capturing"
cart|n,cart,n,88,"cart, carts"
casino|n,casino,n,88,"casino, casinos"
Catholic|K,Catholic,K,88,Catholic
chop|v,chop,v,88,"chop, chopped, chopping, chops"
cleaner|n,cleaner,n,88,"cleaner, cleaners"
desert|n,desert,n,88,"desert, deserts"
ex-boyfriend|n,ex-boyfriend,n,88,"ex-boyfriend, ex-boyfriends"
executive|n,executive,n,88,"executive, executives"
foreign|j,foreign,j,88,foreign
fully|r,fully,r,88,fully
interview|v,interview,v,88,"interview, interviewed, interviewing, interviews"
lean|v,lean,v,88,"lean, leaned, leaning, leans"
louse|n,louse,n,88,"louse, lice, louses"
march|v,march,v,88,"march, marched, marches, marching"
novel|n,novel,n,88,"novel, novels"
one thousand|m,one thousand,m,88,one thousand
orange|n,orange,n,88,"orange, oranges"
sense|v,sense,v,88,"sense, sensed, senses, sensing"
slice|n,slice,n,88,"slice, slices"
species|n,species,n,88,species
strip-club|n,strip-club,n,88,strip-club
weigh|v,weigh,v,88,"weigh, weighed, weighing, weighs"
weirdo|n,weirdo,n,88,"weirdo, weirdos"
shadow|n,shadow,n,88,"shadow, shadows"
accomplish|v,accomplish,v,87,"accomplish, accomplished, accomplishes, accomplishing"
barbecue|n,barbecue,n,87,"barbecue, barbecues, barbeque, barbeques, BBQ"
cast|v,cast,v,87,"cast, casting, casts"
curse|n,curse,n,87,"curse, curses"
define|v,define,v,87,"define, defined, defines, defining"
double|v,double,v,87,"double, doubled, doubles, doubling"
equipment|n,equipment,n,87,equipment
fever|n,fever,n,87,"fever, fevers"
front|j,front,j,87,front
gig|n,gig,n,87,"gig, gigs"
harassment|n,harassment,n,87,"harassment, harassments"
intelligent|j,intelligent,j,87,intelligent
karate|n,karate,n,87,karate
manner|n,manner,n,87,"manner, manners"
marijuana|n,marijuana,n,87,"marijuana, marihuana"
operate|v,operate,v,87,"operate, operated, operates, operating"
post|v,post,v,87,"post, posted, posting, posts"
quest|n,quest,n,87,"quest, quests"
raise|n,raise,n,87,"raise, raises"
raisin|n,raisin,n,87,"raisin, raisins"
record|v,record,v,87,"record, recorded, recording, records"
religious|j,religious,j,87,religious
skinny|j,skinny,j,87,"skinny, skinnier, skinniest"
slide|n,slide,n,87,"slide, slides"
stinky|j,stinky,j,87,"stinky, stinkier, stinkiest"
sushi|n,sushi,n,87,sushi
thy|fw,thy,fw,87,"thy, thine"
whew|u,whew,u,87,whew
adult|j,adult,j,86,adult
allergic|j,allergic,j,86,allergic
appearance|n,appearance,n,86,"appearance, appearances"
cave|n,cave,n,86,"cave, caves"
drunken|j,drunken,j,86,drunken
fireman|n,fireman,n,86,"fireman, firemen"
frame|n,frame,n,86,"frame, frames"
graduate|v,graduate,v,86,"graduate, graduated, graduates, graduating"
hammer|n,hammer,n,86,"hammer, hammers"
naughty|j,naughty,j,86,"naughty, naughtier, naughtiest"
nine hundred|m,nine hundred,m,86,nine hundred
salary|n,salary,n,86,"salary, salaries"
signature|n,signature,n,86,"signature, signatures"
slap|n,slap,n,86,"slap, slaps"
special|n,special,n,86,"special, specials"
bowl|v,bowl,v,86,"bowl, bowled, bowling, bowls"
border|n,border,n,86,"border, borders"
afterwards|r,afterwards,r,85,afterwards
curtain|n,curtain,n,85,"curtain, curtains"
defeat|v,defeat,v,85,"defeat, defeated, defeating, defeats"
desire|n,desire,n,85,"desire, desires"
ex-wife|n,ex-wife,n,85,"ex-wife, ex-wives"
firework|n,firework,n,85,"firework, fireworks"
habit|n,habit,n,85,"habit, habits"
lane|n,lane,n,85,"lane, lanes"
late|r,late,r,85,"late, later, latest"
management|n,management,n,85,"management, managements"
mighty|j,mighty,j,85,"mighty, mightier, mightiest"
Muslim|K,Muslim,K,85,"Muslim, Muslims"
nanny|n,nanny,n,85,"nanny, nannies"
nicely|r,nicely,r,85,nicely
polite|j,polite,j,85,"polite, politer, politest"
political|j,political,j,85,"political, politically"
rage|n,rage,n,85,"rage, rages"
rainbow|n,rainbow,n,85,"rainbow, rainbows"
smelly|j,smelly,j,85,"smelly, smellier, smelliest"
tissue|n,tissue,n,85,"tissue, tissues"
triangle|n,triangle,n,85,"triangle, triangles"
useless|j,useless,j,85,useless
visitor|n,visitor,n,85,"visitor, visitors"
vodka|n,vodka,n,85,"vodka, vodkas"
angle|n,angle,n,84,"angle, angles"
anonymous|j,anonymous,j,84,anonymous
calendar|n,calendar,n,84,"calendar, calendars"
comic|n,comic,n,84,"comic, comics"
dibs|n,dibs,n,84,dibs
dip|n,dip,n,84,"dip, dips"
financial|j,financial,j,84,financial
flat|j,flat,j,84,"flat, flatter, flattest"
grand|n,grand,n,84,"grand, grands"
identity|n,identity,n,84,"identity, identities"
light|j,light,j,84,"light, lighter, lightest"
living|j,living,j,84,living
register|v,register,v,84,"register, registered, registering, registers"
shocking|j,shocking,j,84,shocking
shopping|n,shopping,n,84,shopping
sixth|m,sixth,m,84,"sixth, sixths"
spoon|n,spoon,n,84,"spoon, spoons"
stop|n,stop,n,84,"stop, stops"
strawberry|n,strawberry,n,84,"strawberry, strawberries"
target|n,target,n,84,"target, targets"
teenage|j,teenage,j,84,teenage
thick|j,thick,j,84,"thick, thicker, thickest"
Web|K,Web,K,84,Web
whoops|u,whoops,u,84,whoops
counter|n,counter,n,84,"counter, counters"
agency|n,agency,n,83,"agency, agencies"
carnival|n,carnival,n,83,"carnival, carnivals"
confirm|v,confirm,v,83,"confirm, confirmed, confirming, confirms"
corpse|n,corpse,n,83,"corpse, corpses"
disagree|v,disagree,v,83,"disagree, disagreed, disagreeing, disagrees"
feature|n,feature,n,83,"feature, features"
firm|n,firm,n,83,"firm, firms"
fit|n,fit,n,83,"fit, fits"
hill|n,hill,n,83,"hill, hills"
hopefully|r,hopefully,r,83,hopefully
jam|n,jam,n,83,"jam, jams"
lamb|n,lamb,n,83,"lamb, lambs"
local|n,local,n,83,"local, locals"
log|n,log,n,83,"log, logs"
party|v,party,v,83,"party, partied, parties, partying"
printer|n,printer,n,83,"printer, printers"
sketch|n,sketch,n,83,"sketch, sketches"
ski|n,ski,n,83,"ski, skis"
steam|n,steam,n,83,"steam, steams"
superhero|n,superhero,n,83,"superhero, superheroes"
terribly|r,terribly,r,83,terribly
toothbrush|n,toothbrush,n,83,"toothbrush, toothbrushes"
top|v,top,v,83,"top, topped, topping, tops"
council|n,council,n,82,"council, councils"
deck|n,deck,n,82,"deck, decks"
dragon|n,dragon,n,82,"dragon, dragons"
election|n,election,n,82,"election, elections"
hah|u,hah,u,82,hah
lack|n,lack,n,82,"lack, lacks"
lawsuit|n,lawsuit,n,82,"lawsuit, lawsuits"
lecture|n,lecture,n,82,"lecture, lectures"
mysterious|j,mysterious,j,82,mysterious
pleasant|j,pleasant,j,82,"pleasant, pleasanter, pleasantest"
pregnancy|n,pregnancy,n,82,"pregnancy, pregnancies"
professional|n,professional,n,82,"professional, professionals"
reward|n,reward,n,82,"reward, rewards"
risk|v,risk,v,82,"risk, risked, risking, risks"
rose|n,rose,n,82,"rose, roses"
scientific|j,scientific,j,82,scientific
specifically|r,specifically,r,82,specifically
tune|n,tune,n,82,"tune, tunes"
acid|n,acid,n,81,"acid, acids"
argh|u,argh,u,81,argh
candidate|n,candidate,n,81,"candidate, candidates"
differently|r,differently,r,81,differently
economy|n,economy,n,81,"economy, economies"
eighty|m,eighty,m,81,"eighty, eighties"
fee|n,fee,n,81,"fee, fees"
flame|n,flame,n,81,"flame, flames"
foundation|n,foundation,n,81,"foundation, foundations"
joint|n,joint,n,81,"joint, joints"
oy|u,oy,u,81,oy
punishment|n,punishment,n,81,"punishment, punishments"
rally|n,rally,n,81,"rally, rallies"
reception|n,reception,n,81,"reception, receptions"
request|n,request,n,81,"request, requests"
resist|v,resist,v,81,"resist, resisted, resisting, resists"
schedule|v,schedule,v,81,"schedule, scheduled, schedules, scheduling"
seven hundred|m,seven hundred,m,81,seven hundred
shock|n,shock,n,81,"shock, shocks"
sore|j,sore,j,81,"sore, sorer, sorest"
suspect|v,suspect,v,81,"suspect, suspected, suspecting, suspects"
union|n,union,n,81,"union, unions"
telephone|n,telephone,n,81,"telephone, telephones"
extra|r,extra,r,80,extra
accuse|v,accuse,v,80,"accuse, accused, accuses, accusing"
ape|n,ape,n,80,"ape, apes"
badge|n,badge,n,80,"badge, badges"
barn|n,barn,n,80,"barn, barns"
buck|n,buck,n,80,"buck, bucks"
catch|n,catch,n,80,"catch, catches"
divide|v,divide,v,80,"divide, divided, divides, dividing"
eternity|n,eternity,n,80,"eternity, eternities"
hopeless|j,hopeless,j,80,hopeless
intervention|n,intervention,n,80,"intervention, interventions"
jam|v,jam,v,80,"jam, jammed, jamming, jams"
knock|u,knock,u,80,knock
mattress|n,mattress,n,80,"mattress, mattresses"
millionaire|n,millionaire,n,80,"millionaire, millionaires, millionnaire, millionnaires"
observe|v,observe,v,80,"observe, observed, observes, observing"
react|v,react,v,80,"react, reacted, reacting, reacts"
speaker|n,speaker,n,80,"speaker, speakers"
spicy|j,spicy,j,80,"spicy, spicier, spiciest"
stadium|n,stadium,n,80,"stadium, stadia, stadiums"
standard|n,standard,n,80,"standard, standards"
syndrome|n,syndrome,n,80,"syndrome, syndromes"
unhappy|j,unhappy,j,80,"unhappy, unhappier, unhappiest"
vow|n,vow,n,80,"vow, vows"
will|n,will,n,80,"will, wills"
youth|n,youth,n,80,"youth, youths"
admire|v,admire,v,79,"admire, admired, admires, admiring"
ambulance|n,ambulance,n,79,"ambulance, ambulances"
bonus|n,bonus,n,79,"bonus, bonuses"
commission|n,commission,n,79,"commission, commissions"
crotch|n,crotch,n,79,"crotch, crotches"
deer|n,deer,n,79,"deer, deers"
fountain|n,fountain,n,79,"fountain, fountains"
grease|n,grease,n,79,"grease, greases"
immigrant|n,immigrant,n,79,"immigrant, immigrants"
injury|n,injury,n,79,"injury, injuries"
intense|j,intense,j,79,"intense, intenser, intensest"
journal|n,journal,n,79,"journal, journals"
launch|v,launch,v,79,"launch, launched, launches, launching"
medal|n,medal,n,79,"medal, medals"
mile|n,mile,n,79,"mile, miles"
plant|v,plant,v,79,"plant, planted, planting, plants"
rescue|v,rescue,v,79,"rescue, rescued, rescues, rescuing"
semester|n,semester,n,79,"semester, semesters"
tire|n,tire,n,79,"tire, tires"
worship|v,worship,v,79,"worship, worshiped, worshiping, worships"
seed|n,seed,n,79,"seed, seeds"
dot|n,dot,n,79,"dot, dots"
a.m.|abbr,a.m.,abbr,78,"a.m., am, AM, A.M."
alert|n,alert,n,78,"alert, alerts"
confident|j,confident,j,78,confident
currently|r,currently,r,78,currently
disco|n,disco,n,78,"disco, discos"
escape|n,escape,n,78,"escape, escapes"
film|v,film,v,78,"film, filmed, filming, films"
found|v,found,v,78,"found, founds, founding, founded"
frustrate|v,frustrate,v,78,"frustrate, frustrated, frustrates, frustrating"
improve|v,improve,v,78,"improve, improved, improves, improving"
intercourse|n,intercourse,n,78,"intercourse, intercourses"
investment|n,investment,n,78,"investment, investments"
jelly|n,jelly,n,78,"jelly, jellies"
loan|v,loan,v,78,"loan, loaned, loaning, loans"
musical|n,musical,n,78,"musical, musicals"
protest|v,protest,v,78,"protest, protested, protesting, protests"
seal|v,seal,v,78,"seal, sealed, sealing, seals"
shock|v,shock,v,78,"shock, shocked, shocking, shocks"
silent|j,silent,j,78,"silent, silenter, silentest"
temperature|n,temperature,n,78,"temperature, temperatures"
testicle|n,testicle,n,78,"testicle, testicles"
typical|j,typical,j,78,typical
unusual|j,unusual,j,78,unusual
approach|v,approach,v,77,"approach, approached, approaches, approaching"
April|K,April,K,77,"April, Aprils"
attempt|n,attempt,n,77,"attempt, attempts"
bow|n,bow,n,77,"bow, bows"
castle|n,castle,n,77,"castle, castles"
dine|v,dine,v,77,"dine, dined, dines, dining"
fiance|n,fiance,n,77,"fiance, fiances"
goo|n,goo,n,77,goo
governor|n,governor,n,77,"governor, governors"
lotion|n,lotion,n,77,"lotion, lotions"
measure|v,measure,v,77,"measure, measured, measures, measuring"
modern|j,modern,j,77,modern
necklace|n,necklace,n,77,"necklace, necklaces"
nor|fw,nor,fw,77,nor
orgasm|n,orgasm,n,77,"orgasm, orgasms"
poetry|n,poetry,n,77,poetry
reasonable|j,reasonable,j,77,reasonable
run|n,run,n,77,"run, runs"
scam|n,scam,n,77,"scam, scams"
shift|n,shift,n,77,"shift, shifts"
sneaker|n,sneaker,n,77,"sneaker, sneakers"
straighten|v,straighten,v,77,"straighten, straightened, straightening, straightens"
tap|v,tap,v,77,"tap, tapped, tapping, taps"
track|v,track,v,77,"track, tracked, tracking, tracks"
unlike|fw,unlike,fw,77,unlike
bench|n,bench,n,76,"bench, benches"
blowjob|n,blowjob,n,76,"blowjob, blowjobs"
championship|n,championship,n,76,"championship, championships"
Coke|K,Coke,K,76,Coke
darkness|n,darkness,n,76,"darkness, darknesses"
diary|n,diary,n,76,"diary, diaries"
figure|n,figure,n,76,"figure, figures"
guilt|n,guilt,n,76,"guilt, guilts"
horny|j,horny,j,76,"horny, hornier, horniest"
intimate|j,intimate,j,76,intimate
laughter|n,laughter,n,76,laughter
lend|v,lend,v,76,"lend, lending, lends, lent"
organization|n,organization,n,76,"organization, organizations"
outside|n,outside,n,76,"outside, outsides"
purple|j,purple,j,76,"purple, purpler, purplest"
rice|n,rice,n,76,"rice, rices"
seminar|n,seminar,n,76,"seminar, seminars"
senior|j,senior,j,76,senior
shape|v,shape,v,76,"shape, shaped, shapes, shaping"
sheep|n,sheep,n,76,sheep
sweat|n,sweat,n,76,"sweat, sweats"
upside|n,upside,n,76,"upside, upsides"
vehicle|n,vehicle,n,76,"vehicle, vehicles"
seventy|m,seventy,m,76,"seventy, seventies"
achieve|v,achieve,v,75,"achieve, achieved, achieves, achieving"
addiction|n,addiction,n,75,"addiction, addictions"
architecture|n,architecture,n,75,"architecture, architectures"
certain|j,certain,j,75,certain
demon|n,demon,n,75,"demon, demons"
dry-cleaner|n,dry-cleaner,n,75,"dry-cleaner, dry-cleaners"
dumbass|n,dumbass,n,75,"dumbass, dumbasses"
freezer|n,freezer,n,75,"freezer, freezers"
guide|n,guide,n,75,"guide, guides"
harm|n,harm,n,75,"harm, harms"
honk|v,honk,v,75,"honk, honked, honking, honks"
install|v,install,v,75,"install, installed, installing, installs"
mascot|n,mascot,n,75,"mascot, mascots"
massive|j,massive,j,75,massive
metal|n,metal,n,75,"metal, metals"
nest|n,nest,n,75,"nest, nests"
nineteen|m,nineteen,m,75,"nineteen, nineteens"
possibility|n,possibility,n,75,"possibility, possibilities"
praise|v,praise,v,75,"praise, praised, praises, praising"
prescription|n,prescription,n,75,"prescription, prescriptions"
produce|v,produce,v,75,"produce, produced, produces, producing"
salmon|n,salmon,n,75,"salmon, salmons"
surround|v,surround,v,75,"surround, surrounded, surrounding, surrounds"
tragedy|n,tragedy,n,75,"tragedy, tragedies"
trip|v,trip,v,75,"trip, tripped, tripping, trips"
troll|n,troll,n,75,"troll, trolls"
tune|v,tune,v,75,"tune, tuned, tunes, tuning"
wagon|n,wagon,n,75,"wagon, wagons"
whisper|v,whisper,v,75,"whisper, whispered, whispering, whispers"
yummy|j,yummy,j,75,"yummy, yummier, yummiest"
ban|v,ban,v,74,"ban, banned, banning, bans"
bind|v,bind,v,74,"bind, binding, binds, bound"
brand-new|j,brand-new,j,74,brand-new
butterfly|n,butterfly,n,74,"butterfly, butterflies"
cast|n,cast,n,74,"cast, casts"
ceiling|n,ceiling,n,74,"ceiling, ceilings"
constantly|r,constantly,r,74,constantly
elbow|n,elbow,n,74,"elbow, elbows"
electricity|n,electricity,n,74,electricity
exchange|n,exchange,n,74,"exchange, exchanges"
grass|n,grass,n,74,"grass, grasses"
misunderstanding|n,misunderstanding,n,74,"misunderstanding, misunderstandings"
reunion|n,reunion,n,74,"reunion, reunions"
rush|n,rush,n,74,"rush, rushes"
sacred|j,sacred,j,74,sacred
sergeant|n,sergeant,n,74,"sergeant, sergeants"
solo|n,solo,n,74,"solo, soli, solos"
syrup|n,syrup,n,74,"syrup, syrups"
therefore|fw,therefore,fw,74,therefore
timing|n,timing,n,74,"timing, timings"
where|fw,where,fw,74,where
whistle|n,whistle,n,74,"whistle, whistles"
knight|n,knight,n,74,"knight, knights"
awful|r,awful,r,73,awful
ballet|n,ballet,n,73,"ballet, ballets"
blade|n,blade,n,73,"blade, blades"
blast|n,blast,n,73,"blast, blasts"
celebration|n,celebration,n,73,"celebration, celebrations"
cheesecake|n,cheesecake,n,73,"cheesecake, cheesecakes"
communicate|v,communicate,v,73,"communicate, communicated, communicates, communicating"
cough|n,cough,n,73,"cough, coughs"
cripple|v,cripple,v,73,"cripple, crippled, cripples, crippling"
dozen|m,dozen,m,73,"dozen, dozens"
fall|n,fall,n,73,"fall, falls"
following|j,following,j,73,following
goddamn|u,goddamn,u,73,"goddamn, goddam"
heel|n,heel,n,73,"heel, heels"
hold|n,hold,n,73,"hold, holds"
lad|n,lad,n,73,"lad, lads"
noon|n,noon,n,73,"noon, noons"
onion|n,onion,n,73,"onion, onions"
pound|v,pound,v,73,"pound, pounded, pounding, pounds"
relieve|v,relieve,v,73,"relieve, relieved, relieves, relieving"
saving|n,saving,n,73,"saving, savings"
scheme|n,scheme,n,73,"scheme, schemes"
silence|n,silence,n,73,"silence, silences"
skate|v,skate,v,73,"skate, skated, skates, skating"
twenty-two|m,twenty-two,m,73,twenty-two
volunteer|v,volunteer,v,73,"volunteer, volunteered, volunteering, volunteers"
application|n,application,n,72,"application, applications"
cinnamon|n,cinnamon,n,72,"cinnamon, cinnamons"
coconut|n,coconut,n,72,"coconut, coconuts"
construction|n,construction,n,72,"construction, constructions"
curse|v,curse,v,72,"curse, cursed, curses, cursing"
Easter|K,Easter,K,72,"Easter, Easters"
ex-girlfriend|n,ex-girlfriend,n,72,"ex-girlfriend, ex-girlfriends"
explore|v,explore,v,72,"explore, explored, explores, exploring"
frame|v,frame,v,72,"frame, framed, frames, framing"
highway|n,highway,n,72,"highway, highways"
imply|v,imply,v,72,"imply, implied, implies, implying"
pottery|n,pottery,n,72,"pottery, potteries"
soak|v,soak,v,72,"soak, soaked, soaking, soaks"
sticker|n,sticker,n,72,"sticker, stickers"
survivor|n,survivor,n,72,"survivor, survivors"
task|n,task,n,72,"task, tasks"
yoga|n,yoga,n,72,yoga
beast|n,beast,n,71,"beast, beasts"
biology|n,biology,n,71,"biology, biologies"
carve|v,carve,v,71,"carve, carved, carves, carving"
destiny|n,destiny,n,71,"destiny, destinies"
detention|n,detention,n,71,"detention, detentions"
direct|v,direct,v,71,"direct, directed, directing, directs"
drill|n,drill,n,71,"drill, drills"
firm|j,firm,j,71,"firm, firmer, firmest"
grill|v,grill,v,71,"grill, grilled, grilling, grills"
potential|j,potential,j,71,potential
rehearsal|n,rehearsal,n,71,"rehearsal, rehearsals"
related|j,related,j,71,related
ribbon|n,ribbon,n,71,"ribbon, ribbons"
spaghetti|n,spaghetti,n,71,spaghetti
stress|v,stress,v,71,"stress, stressed, stresses, stressing"
stuffing|n,stuffing,n,71,"stuffing, stuffings"
surely|r,surely,r,71,surely
twenty-three|m,twenty-three,m,71,twenty-three
drum|n,drum,n,70,"drum, drums"
accountant|n,accountant,n,70,"accountant, accountants"
chill|v,chill,v,70,"chill, chilled, chilling, chills"
coaster|n,coaster,n,70,"coaster, coasters"
conditioner|n,conditioner,n,70,"conditioner, conditioners"
cone|n,cone,n,70,"cone, cones"
deaf|j,deaf,j,70,"deaf, deafer, deafest"
dismiss|v,dismiss,v,70,"dismiss, dismissed, dismisses, dismissing"
dive|v,dive,v,70,"dive, dived, dives, diving, dove"
error|n,error,n,70,"error, errors"
file|v,file,v,70,"file, filed, files, filing"
fly|n,fly,n,70,"fly, flies"
hers|fw,hers,fw,70,hers
